,name,ownerAddress,breedCount,pegaTotalRaces,speed,strength,wind,fire,water,lightning,gender,bloodLine,breedType,winRate,win,lose,avg_position,firt_places,second_places,third_places,total_rewards
0,Vitalik | ToknGaming,0x7b0bd60CFc513bCBF99A74842985bf2F20FB434d,2,164,0.18,1.62,4.33,3.36,6.22,7.03,Female,Klin,Pacer,0.1,17,147,9.76,2,5,3,508
0,Huevo,0x0200A077aCb7a1F0eb3A3c1fB3E412300940506b,4,256,6.11,8.51,4.02,6.18,5.49,4.18,Female,Zan,Founding,0.14,36,220,8.48,1,1,5,279
0,Overclocked | 103,0x7799d0840016e71DC8DA5d06959A7f9e4324476D,3,251,0.04,3.73,4.63,1.48,0.51,8.8,Male,Klin,Pacer,0.19,48,203,9.94,6,9,2,1078
0,Flash Bang Zoom,0xD4006ed65539f175F4E021967befaFb91cfE453C,2,157,2.59,3.55,0.56,2.3,8.38,7.25,Female,Zan,Pacer,0.23,36,121,7.58,5,13,7,1279
0,Lively One,0xb78361Cb1068B29ECc12D43C85d8d6d615Dd6bB1,2,254,0.04,7.67,6.53,5.71,5.53,6.62,Female,Hoz,Pacer,0.19,48,206,7.16,4,4,5,726
0,Bernita Torp,0x08ac1d3DEC5393F90Dba50BB83be1f67753c7172,3,258,4.3,4.15,4.23,2.22,6.87,6.02,Male,Hoz,Pacer,0.26,68,190,7.02,7,8,11,1373
0,EternalXL,0x37e90d88B5aEFE0aB9FfC58C54204ae595c0EA4C,2,242,7.47,6.65,7.27,5.05,3.46,3.77,Female,Zan,Legendary,0.16,39,203,7.72,6,7,2,990
0,065 PathDAO,0xcA7AC099CDefCCA6483218117D0C44B39ddB15EB,4,259,3.83,2.92,4.69,2.06,0.2,2.64,Male,Hoz,Pacer,0.22,58,201,6.97,7,8,3,1165
0,Knightlight,0x7bC1C2E788a30208150AdDd5020723D7a978b7dD,2,257,2.83,3.71,0.89,0.54,5.74,4.53,Female,Zan,Pacer,0.21,54,203,8.07,2,8,8,770
0,ã¦ãå¨,0xCDf8F40F77c542c8d00F79D91610D36bA07a9988,3,182,6.46,5.84,4.49,3.09,3.09,6.55,Male,Hoz,Pacer,0.16,30,152,8.1,3,2,12,715
0,Cloudseeker,0x7f96F1a446E31dFcE41e371E1A235A1Eb13fff5F,3,240,1.2,8.34,0.65,2.04,0.25,4.08,Male,Hoz,Pacer,0.19,45,195,7.89,4,6,7,866
0,Cheveux,0x9D8B594991006260f8B56CD69Bd2D4B6C2563bc7,2,156,7.23,3.18,2.02,0.7,1.19,2.03,Male,Zan,Pacer,0.22,34,122,6.51,3,7,12,935
0,Samael The Fallen,0xcEA75E9A9f3D7b78a3a65F49296C108B3E692932,2,254,8.87,0.96,5.77,4.63,5.44,6.98,Male,Klin,Pacer,0.49,125,129,3.68,28,22,13,4246
0,MER.12,0xa1a72e00A99E587EAfaB568EC031959AB047b429,3,250,3.68,0.05,1.2,0.05,8.61,3.92,Female,Zan,Legendary,0.28,71,179,6.71,19,10,4,2539
0,LA P-041,0x4926bd156BaDD09fD9A07A08c2F3146Ae57cD8b0,3,243,6.23,2.95,2.78,6.32,3.85,5.61,Female,Hoz,Pacer,0.25,61,182,6.05,11,6,12,1731
0,Jasmine | GaCha | TCG,0xFC60d6c97D7c6254DD31b1eaaBbD4b6149012059,2,245,3.08,4.96,8.66,4.94,6.13,4.2,Female,Zan,Rare,0.2,49,196,6.96,6,11,8,1322
0,BGG | Campona #34,0xbB28453a92d03156fDe3107575CFc67D77878455,2,262,1.6,7.52,2.58,7.0,2.95,3.07,Male,Campona,Pacer,0.17,44,218,8.12,4,3,5,682
0,CHRISTOFONE,0xB18b0099C4C01f227479293225E708d91eBF090C,3,145,6.66,1.29,7.55,4.1,5.83,2.7,Female,Klin,Pacer,0.43,63,82,5.54,18,12,13,2756
0,Dione,0xfb4C68B2cd4fdF2Af75E071E0639cB76D19c247c,3,236,1.94,8.68,5.04,3.93,3.7,5.27,Male,Hoz,Pacer,0.16,38,198,7.63,2,4,9,620
0,WONDER,0x0551adeDDB3bF6A2bA05f20eC5538664cb117a71,3,247,8.54,8.61,0.72,1.52,8.79,4.44,Female,Campona,Pacer,0.16,40,207,8.91,7,4,6,1067
0,Iron Pega #17,0xdE0496D87608681e65ad58C83DF73dD5E9183477,3,268,5.71,0.91,1.98,2.39,5.98,4.66,Female,Klin,Pacer,0.29,78,190,5.09,9,14,9,1795
0,San Jacinto,0x6788091CcCC454Fe821991Fbd71a2DA48922bd87,3,263,5.1,2.26,8.82,7.31,8.23,1.46,Female,Hoz,Pacer,0.37,98,165,6.0,25,16,7,3511
0,Kinsi,0x9c27A223EBf87Bd9B6751FE3d0749e8D13A5A763,3,243,2.63,0.49,6.89,2.96,5.86,3.37,Male,Zan,Rare,0.2,49,194,7.11,8,11,3,1402
0,MLS | Ab Ovo,0xc2df2B00b770D2710481a99a335C4340BB400060,3,252,2.42,7.88,5.9,1.18,2.18,7.07,Female,Campona,Pacer,0.18,46,206,8.56,5,5,7,927
0,Cregan,0x1712596aD9c84F042F46b421E5127f59159CA694,2,260,6.98,7.48,5.67,8.13,6.88,1.28,Female,Zan,Legendary,0.16,42,218,7.85,5,15,5,1315
0,DH | Cami,0x557E28577476d5838122fC6d4030F59f77294DBF,3,257,0.22,5.78,3.67,7.62,0.41,5.31,Male,Campona,Pacer,0.19,48,209,8.39,6,8,5,1112
0,JAS | Mante,0x3c2463B25146160f2d3CC94193d706c8d8868594,3,258,0.34,3.77,8.93,7.14,4.99,8.38,Female,Klin,Rare,0.11,28,230,9.06,2,4,4,490
0,Shadow Portia,0x59B7741b3e31c2252f7ab43E01209ab5A4d92cbE,2,255,4.33,2.04,8.21,5.48,8.26,4.71,Female,Zan,Pacer,0.2,52,203,7.04,6,12,4,1262
0,Blue | N.Kante,0x48daC5D362493aD063ab6923581c2ed2ea046f7f,3,247,5.9,3.49,3.97,2.74,5.26,7.85,Male,Hoz,Pacer,0.26,63,184,6.66,6,13,13,1540
0,Drow,0x918B3d84499f9A054e73D798E5A992D7770e11C3,3,265,2.69,2.36,1.29,7.25,7.06,5.3,Male,Hoz,Rare,0.26,70,195,6.48,13,5,10,1845
0,Aphrodite | Astro Academy,0x0BF3EA63A8d08447ab57f07a71C1BFCd28638685,3,183,3.88,4.73,3.86,2.08,4.15,2.93,Male,Zan,Pacer,0.12,22,161,8.24,1,4,6,437
0,Hambletonian,0x5442AB2753DEe3caec88b614037aE298E74c3990,3,255,2.98,7.57,8.65,6.45,7.87,5.86,Female,Zan,Epic,0.23,58,197,6.94,8,7,12,1460
0,Laden,0x7C394E295660d58A8D232f96a5e6DFd224F85291,4,241,4.55,6.63,8.02,7.31,0.71,3.61,Male,Hoz,Pacer,0.2,47,194,7.75,7,9,9,1365
0,ððððððð | zan#999,0x354A97346A0E7eC836316cD3462c0DC1f9016C57,3,262,8.41,3.12,4.28,0.29,0.01,7.99,Male,Zan,Rare,0.27,72,190,6.77,22,6,3,2652
0,Nolan Wunsch,0xEd308EDdEe26773FD19Bde6af48eDAc0ba9064F6,3,26,4.5,1.77,5.7,0.13,3.66,3.25,Male,Hoz,Pacer,0.31,8,18,6.076923076923077,3,1,4,463
0,RNT 69,0x343DEfbb0dfd4293292fBC3c296d29eDF2c79E5e,3,255,5.59,7.29,4.46,8.32,0.77,6.87,Male,Hoz,Pacer,0.21,54,201,9.36,5,10,4,1069
0,axe | SSE,0x77fcCD013938DC08C92789B22ff99A05A8d302D3,2,251,1.41,2.45,7.62,1.05,6.19,3.39,Female,Klin,Pacer,0.22,54,197,6.69,6,10,11,1356
0,Donatello | nguilds.com,0x609F10EF05e5b068382d1a6D68409b437160d064,3,249,3.84,7.97,1.34,0.45,6.1,3.11,Female,Zan,Rare,0.16,40,209,8.07,3,4,7,673
0,5,0x34A9C739AA598D611aa558299030Ec8a09EaECf3,4,259,6.55,5.63,8.08,1.22,5.44,1.2,Female,Campona,Rare,0.26,68,191,8.45,12,8,8,1820
0,Pringles 2.0,0x684BDe8f220E1b2537ED13b3c91Eb397d7184fD4,3,259,0.47,2.02,1.28,5.4,3.13,1.7,Female,Zan,Epic,0.15,39,220,8.64,1,3,7,419
0,Brenda Morar,0x7F011d5c9d6dEBeB1776014D4dA25002c39Be99F,3,246,6.63,1.83,6.6,6.98,0.76,7.88,Female,Klin,Pacer,0.35,87,159,7.14,19,10,4,2539
0,Parot,0x69B02410219e4a730B09393d20A91C81C0a9bEC9,3,171,0.02,6.33,5.27,8.55,4.91,5.36,Female,Campona,Rare,0.16,27,144,7.46,6,2,3,796
0,Ahsoka Tano,0xb7dd9C6370e70325bd9177046ADC6B083aA666e4,3,168,5.18,5.26,1.12,2.59,8.57,7.46,Female,Campona,Epic,0.27,46,122,7.52,15,7,6,2039
0,Studebaker,0x9D8B594991006260f8B56CD69Bd2D4B6C2563bc7,2,252,8.99,7.95,3.42,5.14,8.05,7.83,Female,Campona,Pacer,0.15,37,215,8.44,0,5,3,298
0,PGX ALB 12,0x73Cc74F453bD4dBF29FD5Cbe3BfF3a5686eC2f80,2,248,5.11,3.14,7.37,1.98,8.89,4.74,Male,Klin,Rare,0.3,74,174,6.69,18,9,6,2442
0,KxK 06,0xDCCA28fBe2222b89F241c8C123b448E7631CB5a6,3,257,6.43,2.08,8.61,0.42,6.4,7.88,Female,Hoz,Pacer,0.28,73,184,6.4,16,12,5,2338
0,Aayla,0x9F58e79d5687d48cD5E9CF52085911c5a1c30DAb,3,251,3.95,1.53,6.83,7.11,5.97,1.67,Male,Hoz,Pacer,0.32,80,171,5.86,13,12,11,2179
0,$HT,0xD9aD361Ee5581f0aF5C307bD97153d1b535C0577,2,243,7.82,0.23,5.35,2.44,0.83,3.97,Male,Hoz,Pacer,0.44,107,136,3.91,17,21,17,3151
0,AGADOR | 03,0x19151413B06215f8a7a5c94E19E6A8a7e96312F5,3,190,8.6,7.71,6.16,4.91,6.44,4.34,Female,Campona,Pacer,0.13,24,166,8.14,6,2,5,848
0,Tamia | FLAG,0x42e31a3a85014044B8F3f85930c707052347d783,2,256,6.37,8.08,0.42,2.11,3.13,1.47,Male,Zan,Pacer,0.11,28,228,9.29,3,3,3,525
0,OnePiece 11,0xc4548cC309B79547AE7e289B33676e09eFA2D77E,3,246,8.51,8.39,6.87,1.53,3.69,5.23,Male,Hoz,Pacer,0.11,27,219,9.5,1,2,1,219
0,AL' ANDROMEDA,0xB5eF0e74D0B72d03d88d04F399aF8918B0969d82,2,243,7.5,4.37,0.39,5.72,4.14,4.44,Female,Campona,Pacer,0.21,52,191,7.28,10,9,4,1550
0,Yiyo  | KDS,0x1BEaDE1cDb52f0Cad3554a6144E954119BdE22f1,3,247,3.7,6.19,2.96,5.33,1.49,2.25,Male,Hoz,Pacer,0.18,44,203,7.51,4,6,9,918
